"As Of Date","Time Series","Value (millions)"
"2023-10-11","PDPOSTIPS-G6L11","2415"
"2023-10-11","PDPOSTIPS-L2","5667"
"2023-10-18","PDPOSTIPS-G11","238"
"2023-10-18","PDPOSTIPS-G2","7680"
"2023-10-18","PDPOSTIPS-G6L11","1841"
"2023-10-18","PDPOSTIPS-L2","5950"
"2023-10-25","PDPOSTIPS-G11","129"
"2023-10-25","PDPOSTIPS-G2","8035"
"2023-10-25","PDPOSTIPS-G6L11","1714"
"2023-10-25","PDPOSTIPS-L2","6460"
"2023-11-01","PDPOSTIPS-G11","-27"
"2023-11-01","PDPOSTIPS-G2","7272"
"2023-11-01","PDPOSTIPS-G6L11","1114"
"2023-11-01","PDPOSTIPS-L2","9411"
"2023-11-08","PDPOSTIPS-G11","99"
"2023-11-08","PDPOSTIPS-G2","6498"
"2023-11-08","PDPOSTIPS-G6L11","1283"
"2023-11-08","PDPOSTIPS-L2","8613"
"2023-11-15","PDPOSTIPS-G11","9"
"2023-11-15","PDPOSTIPS-G2","4706"
"2023-11-15","PDPOSTIPS-G6L11","2629"
"2023-11-15","PDPOSTIPS-L2","9100"
"2023-11-22","PDPOSTIPS-G11","-134"
"2023-11-22","PDPOSTIPS-G2","4205"
"2023-11-22","PDPOSTIPS-G6L11","3613"
"2023-11-22","PDPOSTIPS-L2","9214"
"2023-11-29","PDPOSTIPS-G11","-137"
"2023-11-29","PDPOSTIPS-G2","4846"
"2023-11-29","PDPOSTIPS-G6L11","3453"
"2023-11-29","PDPOSTIPS-L2","9831"
"2023-12-06","PDPOSTIPS-G11","-178"
"2023-12-06","PDPOSTIPS-G2","5026"
"2023-12-06","PDPOSTIPS-G6L11","2485"
"2023-12-06","PDPOSTIPS-L2","10152"
"2023-12-13","PDPOSTIPS-G11","-44"
"2023-12-13","PDPOSTIPS-G2","5286"
"2023-12-13","PDPOSTIPS-G6L11","2571"
"2023-12-13","PDPOSTIPS-L2","6954"
"2023-12-20","PDPOSTIPS-G11","88"
"2023-12-20","PDPOSTIPS-G2","5656"
"2023-12-20","PDPOSTIPS-G6L11","2563"
"2023-12-20","PDPOSTIPS-L2","8349"
"2023-12-27","PDPOSTIPS-G11","156"
"2023-12-27","PDPOSTIPS-G2","6518"
"2023-12-27","PDPOSTIPS-G6L11","2767"
"2023-12-27","PDPOSTIPS-L2","8104"
"2024-01-03","PDPOSTIPS-G11","51"
"2024-01-03","PDPOSTIPS-G2","6162"
"2024-01-03","PDPOSTIPS-G6L11","2865"
"2024-01-03","PDPOSTIPS-L2","7814"
"2024-01-10","PDPOSTIPS-G11","-132"
"2024-01-10","PDPOSTIPS-G2","6731"
"2024-01-10","PDPOSTIPS-G6L11","2700"
"2024-01-10","PDPOSTIPS-L2","7275"
"2024-01-17","PDPOSTIPS-G11","-291"
"2024-01-17","PDPOSTIPS-G2","7143"
"2024-01-17","PDPOSTIPS-G6L11","1839"
"2024-01-17","PDPOSTIPS-L2","8598"
"2024-01-24","PDPOSTIPS-G11","-202"
"2024-01-24","PDPOSTIPS-G2","6783"
"2024-01-24","PDPOSTIPS-G6L11","2619"
"2024-01-24","PDPOSTIPS-L2","9477"
"2024-01-31","PDPOSTIPS-G11","-736"
"2024-01-31","PDPOSTIPS-G2","3880"
"2024-01-31","PDPOSTIPS-G6L11","1620"
"2024-01-31","PDPOSTIPS-L2","15247"
"2024-02-07","PDPOSTIPS-G11","1"
"2024-02-07","PDPOSTIPS-G2","5693"
"2024-02-07","PDPOSTIPS-G6L11","1242"
"2024-02-07","PDPOSTIPS-L2","14048"
"2024-02-14","PDPOSTIPS-G11","93"
"2024-02-14","PDPOSTIPS-G2","6099"
"2024-02-14","PDPOSTIPS-G6L11","389"
"2024-02-14","PDPOSTIPS-L2","12981"
"2024-02-21","PDPOSTIPS-G11","-47"
"2024-02-21","PDPOSTIPS-G2","5117"
"2024-02-21","PDPOSTIPS-G6L11","642"
"2024-02-21","PDPOSTIPS-L2","15110"
"2024-02-28","PDPOSTIPS-G11","716"
"2024-02-28","PDPOSTIPS-G2","2533"
"2024-02-28","PDPOSTIPS-G6L11","1834"
"2024-02-28","PDPOSTIPS-L2","15252"
"2024-03-06","PDPOSTIPS-G11","290"
"2024-03-06","PDPOSTIPS-G2","3995"
"2024-03-06","PDPOSTIPS-G6L11","1419"
"2024-03-06","PDPOSTIPS-L2","15837"
"2024-03-13","PDPOSTIPS-G11","347"
"2024-03-13","PDPOSTIPS-G2","4237"
"2024-03-13","PDPOSTIPS-G6L11","1959"
"2024-03-13","PDPOSTIPS-L2","13189"
"2024-03-20","PDPOSTIPS-G11","322"
"2024-03-20","PDPOSTIPS-G2","3751"
"2024-03-20","PDPOSTIPS-G6L11","1733"
"2024-03-20","PDPOSTIPS-L2","11882"
"2024-03-27","PDPOSTIPS-G11","150"
